"
","British Gas","EDF","E.ON","npower","Scottish Power","SSE","Shell Energy","OVO","Utilita","Utility Warehouse","Bulb Energy","Octopus Energy","Avro Energy","Green Network Energy","So Energy","Small Suppliers"
"2004 Q1",24,14,21,15,11,14,,,,,,,,,,1
"2004 Q2",24,14,21,15,12,15,,,,,,,,,,0
"2004 Q3",24,14,21,15,12,15,,,,,,,,,,0
"2004 Q4",23,13,21,15,13,15,,,,,,,,,,0
"2005 Q1",22,13,21,15,13,15,,,,,,,,,,0
"2005 Q2",22,13,21,15,13,16,,,,,,,,,,1
"2005 Q3",22,13,20,15,13,16,,,,,,,,,,1
"2005 Q4",22,13,20,15,13,16,,,,,,,,,,1
"2006 Q1",22,13,20,15,13,16,,,,,,,,,,0
"2006 Q2",22,14,20,15,13,16,,,,,,,,,,0
"2006 Q3",22,14,20,15,12,17,,,,,,,,,,0
"2006 Q4",22,14,19,16,12,17,,,,,,,,,,0
"2007 Q1",22,14,19,16,12,18,,,,,,,,,,0
"2007 Q2",22,14,19,16,12,18,,,,,,,,,,0
"2007 Q3",22,13,18,16,12,18,,,,,,,,,,0
"2007 Q4",22,13,18,15,12,18,,,,,,,,,,0
"2008 Q1",22,13,18,15,12,19,,,,,,,,,,0
"2008 Q2",22,13,18,15,12,19,,,,,,,,,,0
"2008 Q3",22,13,18,15,12,19,,,,,,,,,,0
"2008 Q4",22,13,18,15,12,19,,,,,,,,,,0
"2009 Q1",22,13,18,15,12,20,,,,,,,,,,0
"2009 Q2",23,13,18,15,12,20,,,,,,,,,,0
"2009 Q3",23,13,18,15,12,20,,,,,,,,,,0
"2009 Q4",23,13,18,14,12,20,,,,,,,,,,0
"2010 Q1",24,13,17,14,12,20,,,,,,,,,,1
"2010 Q2",24,13,17,14,12,20,,,,,,,,,,1
"2010 Q3",24,13,17,14,12,20,,,,,,,,,,1
"2010 Q4",25,13,17,14,11,20,,,,,,,,,,1
"2011 Q1",25,13,17,14,11,20,,,,,,,,,,1
"2011 Q2",25,13,17,14,11,20,,,,,,,,,,1
"2011 Q3",25,13,17,14,11,19,,,,,,,,,,1
"2011 Q4",25,13,17,14,11,19,,,,,,,,,,1
"2012 Q1",25,13,17,14,11,19,,,,,,,,,,1
"2012 Q2",25,13,17,14,11,19,,,,,,,,,,1
"2012 Q3",25,13,17,14,11,19,,,,,,,,,,1
